Participant,Trial,Temperature,Duration,Location,FeltThermal,FeltLocation,ThermalMatch,LocationError
3,9,-15,0.1,0.75,-1,0.8359722,1,-0.08597220000000005
3,10,-15,1.0,0.0,-1,0.0194444,1,-0.0194444
3,11,0,2.0,0.5,0,0.3415278,1,0.1584722
3,12,9,2.0,0.25,1,0.1388889,1,0.11111109999999999
3,13,-15,0.1,0.0,-1,0.2359723,1,-0.2359723
3,14,0,0.1,1.0,0,0.6915278,1,0.3084722
3,15,9,0.1,0.25,1,0.2944444,1,-0.044444399999999995
3,16,0,0.1,0.75,0,0.3859723,1,0.3640277
3,17,0,2.0,1.0,0,0.7887500000000001,1,0.21124999999999994
3,18,0,2.0,0.0,0,0.0,1,0.0
3,19,-15,2.0,1.0,-1,1.0,1,0.0
3,20,0,1.0,0.0,0,0.13597230000000002,1,-0.13597230000000002
3,21,9,0.1,0.0,1,0.1444444,1,-0.1444444
3,22,9,1.0,0.0,1,0.06944440000000002,1,-0.06944440000000002
3,23,0,0.1,0.0,0,0.24708339999999998,1,-0.24708339999999998
3,24,0,2.0,0.5,0,0.4804167,1,0.019583300000000026
3,25,9,2.0,0.0,1,0.16388890000000003,1,-0.16388890000000003
3,26,-15,1.0,0.25,-1,0.8805556,1,-0.6305556
3,27,9,1.0,0.5,1,0.5194445,1,-0.019444499999999976
3,28,0,2.0,1.0,0,0.6415278,1,0.3584722
3,29,0,1.0,0.75,0,0.71375,1,0.036250000000000004
3,30,0,2.0,0.75,0,0.5609723,1,0.18902770000000002
3,32,-15,1.0,1.0,-1,0.9526389000000001,1,0.047361099999999934
3,33,9,1.0,0.25,1,0.8859723,1,-0.6359723
3,34,-15,2.0,0.5,-1,0.8665278,1,-0.36652779999999996
3,35,0,0.1,0.5,0,0.08875003,1,0.41124997
3,36,-15,1.0,0.25,-1,0.8581945,1,-0.6081945
3,37,9,2.0,1.0,1,0.7304167,1,0.26958329999999997
3,38,-15,0.1,0.75,-1,0.9055555,1,-0.15555549999999996
3,39,-15,2.0,0.0,-1,0.2998612,1,-0.2998612
3,40,-15,1.0,0.25,-1,0.5109723,1,-0.26097230000000005
3,41,0,1.0,0.0,0,0.2915278,1,-0.2915278
3,42,0,2.0,0.75,0,0.8304167,1,-0.08041670000000001
3,43,9,0.1,0.0,1,0.5165278,1,-0.5165278
3,44,9,2.0,0.0,1,0.1831945,1,-0.1831945
3,45,9,1.0,0.5,1,0.5831945,1,-0.08319449999999995
3,46,-15,0.1,1.0,-1,1.0,1,0.0
3,47,0,1.0,0.75,0,0.5359722,1,0.2140278
3,48,9,0.1,0.0,1,0.05819450000000001,1,-0.05819450000000001
3,49,9,1.0,0.5,1,0.6720834,1,-0.1720834
3,50,9,1.0,0.25,1,0.4415278,1,-0.19152780000000003
3,51,-15,0.1,1.0,-1,1.0,1,0.0
3,52,0,2.0,0.25,0,0.5193056,1,-0.26930560000000003
3,53,0,0.1,0.25,0,0.2081945,1,0.041805499999999995
3,54,0,0.1,0.5,0,0.6220834,1,-0.12208339999999995
3,55,9,0.1,0.25,1,0.7887501,1,-0.5387501
3,56,-15,0.1,0.5,-1,0.5720834,1,-0.07208340000000002
3,57,0,0.1,0.5,0,0.4831945,1,0.016805499999999973
3,58,9,2.0,0.0,1,0.0859723,1,-0.0859723
3,59,9,1.0,1.0,1,0.9081945,1,0.09180549999999998
3,60,0,2.0,0.5,0,0.5026389,1,-0.0026388999999999996
3,61,9,1.0,0.75,1,0.4526389,1,0.2973611
3,62,0,1.0,0.0,0,0.0,1,0.0
3,63,0,0.1,0.25,0,0.6193056,1,-0.3693056
3,65,-15,1.0,0.5,-1,1.0,1,-0.5
3,66,-15,0.1,0.0,-1,0.1443056,1,-0.1443056
3,67,9,1.0,0.25,1,0.1693056,1,0.0806944
3,68,0,2.0,1.0,0,0.8804167,1,0.11958329999999995
3,69,-15,1.0,1.0,-1,1.0,1,0.0
3,70,-15,2.0,0.5,-1,0.7887501,1,-0.2887501
3,71,9,2.0,0.25,1,0.2276389,1,0.022361099999999995
3,72,0,1.0,0.5,0,0.4804167,1,0.019583300000000026
3,73,0,0.1,1.0,0,0.8415278,1,0.15847219999999995
3,74,-15,0.1,1.0,-1,1.0,1,0.0
3,75,-15,2.0,1.0,-1,0.9554167,1,0.04458329999999999
3,78,9,1.0,0.75,1,0.8665278,1,-0.11652779999999996
3,79,9,2.0,0.5,1,0.8804167,1,-0.38041670000000005
3,80,-15,0.1,0.75,-1,0.9137501,1,-0.1637501
3,81,0,2.0,0.75,0,0.6109723,1,0.13902769999999998
3,82,0,1.0,0.5,0,0.3359722,1,0.1640278
3,83,-15,2.0,0.75,-1,0.8804167,1,-0.13041670000000005
3,84,-15,2.0,0.25,-1,0.6554167,1,-0.40541669999999996
3,85,9,2.0,0.5,1,0.5776389,1,-0.07763889999999996
3,86,9,0.1,1.0,1,0.8470834,1,0.15291659999999996
3,87,0,2.0,0.0,0,0.11374999999999999,1,-0.11374999999999999
3,88,0,2.0,0.25,0,0.21375,1,0.036250000000000004
3,89,9,0.1,0.5,1,0.6026389,1,-0.10263889999999998
3,90,-15,1.0,0.75,-1,0.81375,1,-0.06374999999999997
3,91,9,0.1,0.5,1,0.5831945,1,-0.08319449999999995
3,92,0,2.0,0.0,0,0.32763889999999996,1,-0.32763889999999996
3,93,9,1.0,0.75,1,0.7109722,1,0.039027799999999946
3,94,0,0.1,1.0,0,0.7443056,1,0.2556944
3,95,0,1.0,0.75,0,0.6443056,1,0.10569439999999997
3,96,-15,2.0,1.0,-1,1.0,1,0.0
3,97,9,1.0,1.0,1,0.9220833,1,0.07791669999999995
3,98,0,1.0,1.0,0,0.96375,1,0.036250000000000004
3,99,9,0.1,0.25,1,0.2304167,1,0.019583299999999998
3,100,-15,1.0,0.75,-1,0.9165278,1,-0.1665278
3,101,-15,0.1,0.5,-1,0.7581945,1,-0.2581945
3,102,0,2.0,0.5,0,0.5248612,1,-0.024861200000000028
3,103,9,1.0,0.75,1,0.6415278,1,0.10847220000000002
3,104,9,0.1,0.5,1,0.2944444,1,0.2055556
3,105,9,1.0,1.0,1,1.0,1,0.0
3,106,-15,2.0,0.75,-1,0.8804167,1,-0.13041670000000005
3,107,0,0.1,0.0,0,0.2526389,1,-0.2526389
3,108,-15,2.0,1.0,-1,0.9804167,1,0.01958329999999997
3,109,-15,1.0,0.25,-1,0.86375,1,-0.61375
3,110,-15,0.1,0.5,-1,0.6776389,1,-0.17763890000000004
3,111,9,2.0,0.25,1,0.5109723,1,-0.26097230000000005
3,112,0,2.0,1.0,0,0.9693056,1,0.03069440000000001
